Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2031 2T24 0430 FRANCISCO GUERRA TF.pdf,GUERRA,30-04-30,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2031_2T24_0430_FRANCISCO_GUERRA_TF.xlsx
2032 2T24 0430 PANIFIESTO.pdf,PANIFIESTO,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2032_2T24_0430_PANIFIESTO.xlsx
2033 2T24 0430 LA ROSQUILLERIA TF.pdf,ROSQUILLERIA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2033_2T24_0430_LA_ROSQUILLERIA_TF.xlsx
2034 2T24 0430 FABEIRO TF.PDF,FABEIRO,30-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2034_2T24_0430_FABEIRO_TF.xlsx
2035 2T24 0430 QUESERIA ZUCCA TF.pdf,ZUCCA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2035_2T24_0430_QUESERIA_ZUCCA_TF.xlsx
2036 2T24 0426 KINEMA RC.pdf,KINEMA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2036_2T24_0426_KINEMA_RC.xlsx
2037 2T24 0508 LUCERA RC.pdf,LUCERA,08-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2037_2T24_0508_LUCERA_RC.xlsx
2038 2T24 0506 JAMONES Y EMBUTIDOS BERNAL EF.pdf,BERNAL,06-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2038_2T24_0506_JAMONES_Y_EMBUTIDOS_BERNAL_EF.xlsx
2039 2T24 0430 GARUA TF.pdf,GARUA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2039_2T24_0430_GARUA_TF.xlsx
2040 2T24 0512 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2040_2T24_0512_JIMELUZ.xlsx
2041 2T24 0510 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2041_2T24_0510_JIMELUZ_.xlsx
2042 2T24 0426 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2042_2T24_0426_JIMELUZ_.xlsx
2043 2T24 0512 JIMELUZ (1).pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2043_2T24_0512_JIMELUZ_1_.xlsx
