Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2156 2T24 0615 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2156_2T24_0615_BM_TJ.xlsx
2157 2T24 0615 JIMELUZ 2 TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2157_2T24_0615_JIMELUZ_2_TJ.xlsx
2158 2T24 0615 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2158_2T24_0615_JIMELUZ_EF.xlsx
2159 2T24 0617 EL MUNDO DISFRAZ TJ.pdf,DISFRAZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2159_2T24_0617_EL_MUNDO_DISFRAZ_TJ.xlsx
2160 2T24 0617 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2160_2T24_0617_JIMELUZ_TJ.xlsx
2161 2T24 0619 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2161_2T24_0619_BM_TJ.xlsx
2162 2T24 0619 DERRIBOS ANDRES TF.pdf,ANDRES,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2162_2T24_0619_DERRIBOS_ANDRES_TF.xlsx
2163 2T24 0620 KREZE TF.pdf,KREZE,20-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2163_2T24_0620_KREZE_TF.xlsx
2164 2T24 0621 COMBOESTUDIO TF.pdf,COMBOESTUDIO,15-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2164_2T24_0621_COMBOESTUDIO_TF.xlsx
2165 2T24 0621 LIDL TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2165_2T24_0621_LIDL_TJ.xlsx
2166 2T24 0624 DEVI PETROL TJ.pdf,PETROL,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2166_2T24_0624_DEVI_PETROL_TJ.xlsx
2167 2T24 0401 BENJAMIN ORTEGA TF RETENCION.pdf,RETENCION,01-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2167_2T24_0401_BENJAMIN_ORTEGA_TF_RETENCION.xlsx
2168 2T24 0401 JAIME FERNANDEZ TF RETENCION.pdf,RETENCION,01-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2168_2T24_0401_JAIME_FERNANDEZ_TF_RETENCION.xlsx
2169 2T24 0405 CERES RC.PDF,CERES,05-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2169_2T24_0405_CERES_RC.xlsx
2170 2T24 0409 CERES RC.PDF,CERES,09-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2170_2T24_0409_CERES_RC.xlsx
2171 2T24 0412 CERES RC.PDF,CERES,12-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2171_2T24_0412_CERES_RC.xlsx
2172 2T24 0419 CERES RC.PDF,CERES,19-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2172_2T24_0419_CERES_RC.xlsx
2173 2T24 0423 CERES RC.PDF,CERES,23-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2173_2T24_0423_CERES_RC.xlsx
2174 2T24 0426 CERES RC.PDF,CERES,26-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2174_2T24_0426_CERES_RC.xlsx
2175 2T24 0427 CERES RC.PDF,CERES,27-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2175_2T24_0427_CERES_RC.xlsx
2176 2T24 0501 BENJAMIN ORTEGA TF RETENCION.pdf,RETENCION,01-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2176_2T24_0501_BENJAMIN_ORTEGA_TF_RETENCION.xlsx
2177 2T24 0501 JAIME FERNANDEZ TF RETENCION.pdf,RETENCION,01-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2177_2T24_0501_JAIME_FERNANDEZ_TF_RETENCION.xlsx
2178 2T24 0507 CERES RC.PDF,CERES,07-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2178_2T24_0507_CERES_RC.xlsx
2179 2T24 0503 CERES RC.PDF,CERES,03-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2179_2T24_0503_CERES_RC.xlsx
2181 2T24 0513 CERES RC.PDF,CERES,13-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2181_2T24_0513_CERES_RC.xlsx
2182 2T24 0517 CERES RC.PDF,CERES,17-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2182_2T24_0517_CERES_RC.xlsx
2192 2T24 0614 CERES RC.PDF,CERES,14-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2192_2T24_0614_CERES_RC.xlsx
2193 2T24 0618 CERES RC.PDF,CERES,18-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2193_2T24_0618_CERES_RC.xlsx
2194 2T24 0618 DISTRIBUCIONES LAVAPIES COOP TR.pdf,LAVAPIES,18-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2194_2T24_0618_DISTRIBUCIONES_LAVAPIES_COOP_TR.xlsx
2195 2T24 0619 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2195_2T24_0619_JIMELUZ_TJ.xlsx
2196 2T24 0621 ANGEL RODRIGUEZ ROMERO EF OJO CON RETENCION.pdf,RETENCION,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2196_2T24_0621_ANGEL_RODRIGUEZ_ROMERO_EF_OJO_CON_RETENCION.xlsx
2197 2T24 0621 CERES RC.PDF,CERES,21-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2197_2T24_0621_CERES_RC.xlsx
2198 2T24 0622 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2198_2T24_0622_BM_TJ.xlsx
2199 2T24 0623 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2199_2T24_0623_JIMELUZ_TJ.xlsx
2200 2T24 0624 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2200_2T24_0624_JIMELUZ_TJ.xlsx
2201 2T24 0625 CERES RC.PDF,CERES,25-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2201_2T24_0625_CERES_RC.xlsx
2202 2T24 0625 SABORES DE PATERNA TR.pdf,PATERNA,25-06-25,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2202_2T24_0625_SABORES_DE_PATERNA_TR.xlsx
2203 2T24 0625 SILVA CORDERO TF.pdf,CORDERO,20-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2203_2T24_0625_SILVA_CORDERO_TF.xlsx
2204 2T24 0626 KINEMA REC.pdf,KINEMA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2204_2T24_0626_KINEMA_REC.xlsx
2205 2T24 0627 LA ROSQUILLERIA SLU TR.pdf,ROSQUILLERIA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2205_2T24_0627_LA_ROSQUILLERIA_SLU_TR.xlsx
2206 2T24 0628 FABEIRO TR.pdf,FABEIRO,28-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2206_2T24_0628_FABEIRO_TR.xlsx
2207 2T24 0628 FRANCISCO GUERRA TR.pdf,GUERRA,28-06-28,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2207_2T24_0628_FRANCISCO_GUERRA_TR.xlsx
2208 2T24 0628 LICORES ROSET TJ.pdf,ROSET,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2208_2T24_0628_LICORES_ROSET_TJ.xlsx
2209 2T24 0628 MIGUEZ CAL SL TR.pdf,MIGUEZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2209_2T24_0628_MIGUEZ_CAL_SL_TR.xlsx
2210 2T24 0630 ABBATI CAFFE SL REC.pdf,CAFFE,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2210_2T24_0630_ABBATI_CAFFE_SL_REC.xlsx
2211 2T24 0630 EL MAJADAL TR.pdf,MAJADAL,30-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2211_2T24_0630_EL_MAJADAL_TR.xlsx
2226 2T24 0531 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2226_2T24_0531_BM_TJ.xlsx
