Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2155 2T24 0614 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2155_2T24_0614_JIMELUZ_EF.xlsx
2157 2T24 0615 JIMELUZ 2 TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2157_2T24_0615_JIMELUZ_2_TJ.xlsx
2158 2T24 0615 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2158_2T24_0615_JIMELUZ_EF.xlsx
2160 2T24 0617 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2160_2T24_0617_JIMELUZ_TJ.xlsx
2169 2T24 0405 CERES RC.PDF,CERES,05-04-24,,NO_RECONCILE,out\focus_20250913_2157\2169_2T24_0405_CERES_RC.xlsx
2170 2T24 0409 CERES RC.PDF,CERES,09-04-24,,NO_RECONCILE,out\focus_20250913_2157\2170_2T24_0409_CERES_RC.xlsx
2171 2T24 0412 CERES RC.PDF,CERES,12-04-24,,NO_RECONCILE,out\focus_20250913_2157\2171_2T24_0412_CERES_RC.xlsx
2172 2T24 0419 CERES RC.PDF,CERES,19-04-24,,NO_RECONCILE,out\focus_20250913_2157\2172_2T24_0419_CERES_RC.xlsx
2173 2T24 0423 CERES RC.PDF,CERES,23-04-24,,NO_RECONCILE,out\focus_20250913_2157\2173_2T24_0423_CERES_RC.xlsx
2174 2T24 0426 CERES RC.PDF,CERES,26-04-24,,NO_RECONCILE,out\focus_20250913_2157\2174_2T24_0426_CERES_RC.xlsx
2175 2T24 0427 CERES RC.PDF,CERES,27-04-24,,NO_RECONCILE,out\focus_20250913_2157\2175_2T24_0427_CERES_RC.xlsx
2178 2T24 0507 CERES RC.PDF,CERES,07-05-24,,NO_RECONCILE,out\focus_20250913_2157\2178_2T24_0507_CERES_RC.xlsx
2179 2T24 0503 CERES RC.PDF,CERES,03-05-24,,NO_RECONCILE,out\focus_20250913_2157\2179_2T24_0503_CERES_RC.xlsx
2181 2T24 0513 CERES RC.PDF,CERES,13-05-24,,NO_RECONCILE,out\focus_20250913_2157\2181_2T24_0513_CERES_RC.xlsx
2182 2T24 0517 CERES RC.PDF,CERES,17-05-24,,NO_RECONCILE,out\focus_20250913_2157\2182_2T24_0517_CERES_RC.xlsx
2192 2T24 0614 CERES RC.PDF,CERES,14-06-24,,NO_RECONCILE,out\focus_20250913_2157\2192_2T24_0614_CERES_RC.xlsx
2193 2T24 0618 CERES RC.PDF,CERES,18-06-24,,NO_RECONCILE,out\focus_20250913_2157\2193_2T24_0618_CERES_RC.xlsx
2195 2T24 0619 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2195_2T24_0619_JIMELUZ_TJ.xlsx
2197 2T24 0621 CERES RC.PDF,CERES,21-06-24,,NO_RECONCILE,out\focus_20250913_2157\2197_2T24_0621_CERES_RC.xlsx
2199 2T24 0623 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2199_2T24_0623_JIMELUZ_TJ.xlsx
2200 2T24 0624 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2200_2T24_0624_JIMELUZ_TJ.xlsx
